index,Vkey,VPsize,Information Retrieval,H-Index,Citations,Qualis,World Wide Web,Computer graphics (images),Operating system,Algorithm,Database,Computer network,Data mining,Programming language,Machine learning,Computer vision,Natural language processing,Computer hardware,Pattern recognition,Embedded system,Simulation,Internet privacy,Artificial intelligence,Human-computer interaction,Speech recognition,Parallel computing,Distributed computing,Computer architecture,Computational biology,Real-time computing,Computational science,Data science,Information retrieval,Theoretical computer science,Management science,Cognitive science,Operations research,Computer security,Bioinformatics,Multimedia,Mathematical optimization,Knowledge management,Telecommunications
4370,conf/waf,22.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4371,conf/ifip3-7,168.0,,2.0,237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4372,journals/mlcs,21.0,,,515.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4373,books/ox/LAI2Hb1994,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4374,conf/soco,139.0,,46.0,1132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4375,conf/eemmas,19.0,,,220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4376,conf/netcom,79.0,,,167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4377,conf/nesea,53.0,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4378,conf/woss,46.0,,,1347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4379,conf/pahi,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4380,conf/nordsec,117.0,,,325.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4381,conf/eurosec,40.0,,,191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4382,conf/amcs,21.0,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4383,conf/plc,36.0,,5.0,174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4384,conf/csreaHCI,19.0,,27.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4385,conf/tidse,80.0,,,546.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4386,conf/iwhd,27.0,,,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4387,conf/infrkm,68.0,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4388,journals/ijmhci,107.0,,,219.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4389,journals/see,552.0,,18.0,3727.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4390,conf/mhvr,31.0,,,461.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4391,conf/uxtv,32.0,,,217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4392,conf/essir,13.0,,,453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4393,conf/scie,28.0,,,1561.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4394,conf/perdis,88.0,,,151.0,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,23.0,,,
4395,conf/aughuman,270.0,,11.0,259.0,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,29.0,,29.0,
4396,conf/uiall,84.0,,,855.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4397,conf/iseud,139.0,,,360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4398,phd/uk,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4399,conf/automotiveSS,28.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4400,conf/cobuild,47.0,,,2464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4401,conf/haid,131.0,,,407.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4402,conf/view,24.0,,5.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4403,conf/mlss,9.0,,,950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4404,journals/ile,392.0,,,5475.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4405,books/mk/widomC96,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4406,conf/dbcrowd,11.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4407,books/el/alba85,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4408,books/el,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4409,books/el/ceri83,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4410,journals/rptel,67.0,,,1195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4411,conf/wsna,19.0,,,3436.0,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4412,conf/dmg,12.0,,,184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4413,conf/mos,22.0,,,5693.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4414,conf/ipcat,32.0,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4415,journals/ijcaet,201.0,,,196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4416,conf/scc,21.0,,,3520.0,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4417,conf/bci,205.0,,6.0,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4418,conf/medi,107.0,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4419,conf/lkr,33.0,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4420,journals/or,324.0,,81.0,1008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,
4421,conf/wod,20.0,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4422,conf/imdm,12.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4423,conf/tpctc,89.0,,,407.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4424,journals/jdiq,74.0,,,276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4425,conf/esm,413.0,,,702.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426,homepages/23,11033.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4427,reference/auto,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4428,conf/gosler,24.0,,,514.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429,conf/aii,88.0,,,1135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4430,conf/ore,35.0,,29.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4431,conf/sepln,37.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4432,conf/iastedCSN,52.0,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4433,conf/chdl,43.0,,,2584.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4434,conf/hicons,53.0,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4435,conf/iir,104.0,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4436,conf/cibb,110.0,,,190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4437,books/sp/bruni2011,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4438,conf/osc,58.0,,,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4439,conf/wss,46.0,,,505.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4440,conf/vdmb,17.0,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4441,conf/cjcdgcgt,31.0,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4442,conf/esoa,14.0,,,255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4443,journals/sas,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4444,conf/e4mas,48.0,,,1790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4445,conf/pdse,70.0,,,690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4446,journals/ijse,42.0,,,156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4447,conf/mobiwis,51.0,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4448,conf/aics,69.0,,,357.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4449,conf/vissas,15.0,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4450,conf/wift,32.0,,,731.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4451,conf/ifm,286.0,,14.0,6370.0,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4452,conf/sbmf,103.0,,,307.0,B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4453,conf/anb,11.0,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4454,conf/laser,20.0,,47.0,161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4455,books/igi/Chiong10a,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4456,journals/ijmheur,52.0,,,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4457,conf/nicso,109.0,,,446.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4458,conf/rise,47.0,,4.0,420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4459,conf/bracis,115.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4460,homepages/63,10948.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4461,conf/mlslp,38.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4462,conf/cfap,34.0,,1.0,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4463,journals/ijom,72.0,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4464,books/bi,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4465,conf/programmier,124.0,,,1117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4466,conf/korso,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4467,conf/pc,34.0,,,1081.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4468,conf/cip,11.0,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4469,books/sp/Pohl2012,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4470,conf/fbt,117.0,,,270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4471,conf/prospectra,28.0,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4472,conf/swqd,57.0,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4473,conf/aswsd,23.0,,,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4474,conf/tppp,25.0,,,896.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4475,series/mcs,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4476,journals/ijwp,109.0,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4477,journals/ijesma,104.0,,,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4478,conf/wsbi,38.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4479,conf/dw,57.0,,14.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4480,conf/womm,10.0,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4481,conf/sadfe,111.0,,,495.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4482,conf/fdg,328.0,,21.0,825.0,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4483,conf/abials,19.0,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4484,conf/3dgis,57.0,,,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4485,conf/cae,163.0,,,467.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4486,conf/coodbse,19.0,,,371.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4487,conf/msept,12.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4488,books/hanser,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4489,conf/dics,14.0,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4490,conf/taicpart,52.0,,,223.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4491,conf/eiffel,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4492,conf/issep,160.0,,,342.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4493,books/cu/mckeag80,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4494,conf/musepat,10.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4495,conf/zum,305.0,,3.0,6231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4496,books/eyrolles,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4497,journals/peng,602.0,,16.0,2199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4498,homepages/00,10971.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4499,conf/ihm,478.0,,7.0,306.0,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,27.0,,27.0,
4500,journals/cscl,220.0,,,4457.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4501,conf/ifip9-3,39.0,,,1395.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4502,journals/ijvcsn,102.0,,,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4503,journals/jci,378.0,,,895.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4504,conf/inria,66.0,,,690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4505,conf/coop,66.0,,,310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4506,conf/depcos,194.0,,,514.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4507,journals/accs,463.0,,6.0,260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4508,conf/eurocode,38.0,,,237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4509,homepages/42,11011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4510,conf/robocomm,83.0,,,453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4511,conf/fortest,13.0,,,527.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4512,conf/ifachms,257.0,,,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4513,conf/ipta,244.0,,9.0,166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4514,books/sp/chiong2012,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4515,conf/evolve,45.0,,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4516,conf/iceee,203.0,,,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4517,conf/jmlc,110.0,,,662.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4518,reference/portal,199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4519,conf/gacm,140.0,,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4520,journals/ijcbpl,67.0,,,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4521,journals/jite,199.0,,17.0,2392.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4522,homepages/70,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4523,conf/cnl,61.0,,,404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,conf/amsterdam,97.0,,,373.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4525,conf/dfvlr,11.0,,,336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4526,conf/am,34.0,,,1375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4527,series/atlantissc,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4528,conf/nada,13.0,,,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4529,conf/nf2,18.0,,,544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4530,books/mk/bancilhonDK92,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4531,conf/eda,167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4532,series/xmedia,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4533,conf/ewhci,70.0,,,873.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4534,conf/europacs,45.0,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4535,conf/sbes,113.0,,13.0,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4536,conf/massa,10.0,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4537,conf/sbgames,109.0,,,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,conf/clihc,109.0,,,313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4539,conf/sbsc,53.0,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4540,conf/sbcars,118.0,,,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4541,conf/ewsa,64.0,,,836.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4542,conf/dsvis,305.0,,,4733.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4543,conf/webmedia,307.0,,,238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4544,reference/nlp,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4545,books/sp/fiore2011,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4546,conf/ifip3,421.0,,,2524.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4547,conf/ngmast,215.0,,11.0,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4548,journals/ijigs,66.0,,,728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4549,conf/witasi,24.0,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4550,conf/ifip3-1,222.0,,,674.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4551,conf/aaa-idea,19.0,,,231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4552,conf/lcc,26.0,,,2735.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4553,conf/mud,27.0,,,195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4554,www/org/w3/TR,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4555,conf/dsl,59.0,,,2621.0,B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4556,conf/spatialCognition,253.0,,,3814.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,
4557,conf/sde,139.0,,,9554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4558,conf/amet,12.0,,,1074.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4559,journals/af,40.0,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4560,conf/euroweb,21.0,,,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4561,conf/cadui,170.0,,,2188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4562,conf/woman,60.0,,,346.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4563,conf/rml,17.0,,,214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4564,books/aw/stonebraker86,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4565,journals/dtj,256.0,,,2675.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4566,books/ph/cardenasM90,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4567,conf/pearl,377.0,,,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4568,conf/sbesc,123.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4569,conf/mompes,57.0,,,301.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4570,conf/ifip13,154.0,,,280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4571,conf/wob,262.0,,,458.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4572,conf/aicol,42.0,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4573,conf/tafa,32.0,,,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4574,conf/loft,11.0,,,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4575,conf/jfplc,542.0,,,1010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4576,conf/cets,30.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4577,journals/comsys,6.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4578,conf/firb-perf,14.0,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4579,conf/mira,30.0,,,386.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4580,conf/graphik,42.0,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4581,conf/icids,292.0,,12.0,673.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4582,conf/aegs,13.0,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4583,conf/ifip13-2,17.0,,,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4584,conf/raeumlich,20.0,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4585,conf/zif,18.0,,,305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4586,books/infix,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4587,conf/vric,101.0,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4588,conf/iwai,17.0,,,1086.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4589,conf/eiswt,72.0,,,1169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4590,conf/gsr,50.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4591,conf/elsnet,8.0,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4592,conf/urbiot,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4593,journals/juspn,36.0,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4594,conf/latincrypt,59.0,,,222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4595,conf/infosechicomnet,17.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4596,conf/issa,355.0,,8.0,562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4597,journals/ijncr,63.0,,,145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4598,conf/isarcs,29.0,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4599,conf/inlg,195.0,,,1971.0,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4600,conf/imbsa,16.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4601,journals/kognitionswissenschaft,91.0,,,442.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4602,journals/ijicthd,120.0,,,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4603,homepages/34,11041.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
