,NameAZList,NameH1,ShortNameAZList,GSHindex
conf/caepia,Conferencia de la Asociación Española para la Inteligencia Artificial,,CAEPIA,
conf/cai,Conference on Algebraic Informatics,,CAI,9.0
conf/caia,Conference on Artificial Intelligence Applications,,CAIA,
conf/caine,Computer Applications in Industry and Engineering,,CAINE,4.0
conf/caip,Computer Analysis of Images and Patterns,,CAIP,16.0
conf/caise,Ubiquitous Mobile Information and Collaboration Systems,,UMICS,
conf/caivd,Content-Based Access of Image and Video Databases,,CAIVD,
conf/cal,Conférence francophone sur les Architectures Logicielles,,CAL,
conf/calc,CaCryptography and Lattices,,CaLC,
conf/calco,Conference on Algebra and Coalgebra in Computer Science,,CALCO,
conf/caldam,Conference on Algorithms and Discrete Applied Mathematics,,CALDAM,
conf/calisce,Computer Aided Learning and Instruction in Science and Engineering,,CALISCE,
conf/camad,Computer Aided Modeling and Design of Communication Links and Networks,,CAMAD,10.0
conf/camp,Computer Architectures for Machine Perception,,CAMP,
conf/candc,Creativity & Cognition,,,22.0
conf/candt,C&Communities and Technologies,,C&T,115.0
conf/canpc,"Communication, Architecture, and Applications for Network-Based Parallel Computing",,CANPC,
conf/cans,Cryptology and Network Security,,CANS,18.0
conf/cap,Parallel Symbolic Computation,,PASCO,
conf/captech,Modelling and Motion Capture Techniques for Virtual Environments,,CAPTECH,
conf/car,"International Asia Conference on Informatics in Control, Automation and Robotics",,CAR,10.0
conf/cardis,Smart Card Research and Advanced Application Conference,,CARDIS,
conf/cars,Computer Assisted Radiology and Surgery,,CARS,23.0
conf/cas,Curves and Surfaces,,,
conf/casc,Computer Algebra in Scientific Computing,,CASC,9.0
conf/cascon,Conference of the Centre for Advanced Studies on Collaborative Research,,CASCON,
conf/casdmkm,Chinese Academy of Sciences Symposium on Data Mining and Knowledge Management,,CASDMKM,
conf/case,Conference on Automation Science and Engineering,,CASE,14.0
conf/cases,"Compilers, Architecture, and Synthesis for Embedded Systems",,CASES,17.0
conf/casfe,Context-Aware Adaptation of Service Front-Ends,,CASFE,
conf/cason,CASoComputational Aspects of Social Networks,,CASoN,
conf/cassis,"Construction and Analysis of Safe, Secure, and Interoperable Smart Devices",,CASSIS,
conf/cata,Computers and Their Applications,,CATA,6.0
conf/cate,Computers and Advanced Technology in Education,,CATE,
conf/category,Category Theory,,,19.0
conf/cats,Computing: The Australasian Theory Symposium,,CATS,1.0
conf/cau,Cryptographic Algorithms and their Uses,,,
conf/cav,Computer Aided Verification,,CAV,38.0
conf/cbdar,Camera-Based Document Analysis and Recognition,,CBDAR,
conf/cbmi,Content-Based Multimedia Indexing,,CBMI,11.0
conf/cbms,Computer-Based Medical Systems,,CBMS,14.0
conf/cbse,Component-Based Software Engineering,,CBSE,
conf/cbsq,Component-Based Software Quality,,,
conf/cc,Compiler Construction,,CC,32.0
conf/cca,Computability and Complexity in Analysis,,CCA,16.0
conf/ccbr,Chinese Conference on Biometric Recognition,,CCBR,
conf/ccc,"Cooperation, Concurrence and Communication Project",,,
conf/cccg,Canadian Conference on Computational Geometry,,CCCG,9.0
conf/cce,Coordination of Collaborative Engineering,,CCE,
conf/ccece,Canadian Conference on Electrical and Computer Engineering,,CCECE,13.0
conf/ccgidis,"Communicability, Computer Graphics and Innovative Design for Interactive Systems",,CCGIDIS,
conf/ccgrid,Distributed Shared Memory,,DSM,
conf/cchi,International Symposium of Chinese CHI,,CCHI,
conf/ccia,Catalan Conference on AI,,CCIA,7.0
conf/cciw,Computational Color Imaging Workshop,,CCIW,
conf/ccl,Constraints in Computational Logics,,CCL,
conf/ccmb,"Computational Intelligence, Cognitive Algorithms, Mind, and Brain",,CCMB,
conf/ccn,Communications and Computer Networks,,CCN,
conf/ccnc,Consumer Communications and Networking Conference,,CCNC,25.0
conf/cco,Computational Combinatorial Optimization,,,
conf/ccp,"Data Compression, Communications and Processing",,CCP,
conf/ccpr,Chinese Conference on Pattern Recognition,,CCPR,8.0
conf/ccs,VMSecVirtual Machine Security,,VMSec,
conf/ccseit,"Conference on Computational Science, Engineering and Information Technology",,CCSEIT,3.0
conf/cd,IFIP/ACM Working Conference on Component Deployment,,CD,33.0
conf/cdb,Constraint Databases and Applications,,CDB,
conf/cdc,Conference on Decision and Control,,CDC,43.0
conf/cdes,Computer Design,,CDES,18.0
conf/cdma,CDMA International Conference,,CIC,6.0
conf/cds,Configurable Distributed Systems,,CDS,1.0
conf/cdve,"Cooperative Design, Visualization, and Engineering",,CDVE,7.0
conf/ceas,Conference on Email and Anti-Spam,,CEAS,
conf/cec,Congress on Evolutionary Computation,,CEC,32.0
conf/ceemas,International Workshop of Central and Eastern Europe on Multi-Agent Systems,,CEEMAS,
conf/cefp,Central European Functional Programming School,,CEFP,
conf/centeris,Conference on ENTERprise Information Systems,,CENTERIS,14.0
conf/cepes,UNESCO-CEPES Publications,,UNESCO-CEPES,
conf/cescit,"Conference on Embedded Systems, Computational Intelligence and Telematics in Control",,CESCIT,
conf/cets,Conference on E-business Technology and Strategy,,CETS,
conf/cf,Computing Frontiers,,CF,15.0
conf/cfap,Conférence francophone sur l'apprentissage automatique,,CAP,1.0
conf/cfcp,Canada-France Conference on Parallel and Distributed Computing,,CFCP,
conf/cfi,Conference of Future Internet,,CFI,5.0
conf/cfip,Colloque Francophone sur l'Ingénierie des Protocoles,,CFIP,
conf/cg,Computers and Games,,CG,20.0
conf/cgames,Computer Games,,CGAMES,7.0
conf/cgc,Cloud and Green Computing,,CGC,6.0
conf/cgga,"Computational Geometry, Graphs and Applications",,CGGA,
conf/cgi,Computer Graphics International,,CGI,
conf/cgim,Computer Graphics and Imaging,,CGIM,
conf/cgiv,Multispectral Colour Science,,MCS,14.0
conf/cgo,Symposium on Code Generation and Optimization,,CGO,
conf/cgvr,International Conference on Computer Graphics and Virtual Reality,,CGVR,
conf/charme,Correct Hardware Design and Verification Methods,,CHARME,
conf/chdl,Computer Hardware Description Languages and their Applications,,CHDL,
conf/ches,Cryptographic Hardware and Embedded Systems,,CHES,33.0
conf/chi,Human Factors in Computing Systems,,CHI,6.0
conf/chilechi,ChileChilean Conference on HumanComputer Interaction,,ChileCHI,
conf/chimit,Computer Human Interaction for Management of Information Technology,,CHIMIT,
conf/chinz,New Zealand Chapter's International Conference on Computer-Human Interaction,,CHINZ,
conf/chitaly,CHItalyACM SIGCHI Italian Chapter International Conference on Computer-Human Interaction,,CHItaly,
conf/chorochronos,"CHOROCHRONOS Approach, The",,CHOROCHRONOS,
conf/cia,Cooperative Information Agents,,CIA,
conf/ciac,Italian Conference on Algorithms and Complexity,,CIAC,
conf/ciarp,Iberoamerican Congress on Pattern Recognition,,CIARP,10.0
conf/ciasg,Computational Intelligence Applications in Smart Grid,,CIASG,
conf/cib,Computational Intelligence in Biometrics,,CIB,
conf/cibb,Computational Intelligence Methods for Bioinformatics and Biostatistics,,CIBB,
conf/cibcb,Computational Intelligence in Bioinformatics and Computational Biology,,CIBCB,9.0
conf/cibci,Computational Intelligence in Brain Computer Interfaces,,CIBCI,
conf/cibd,Computational Intelligence in Big Data,,CIBD,
conf/cibim,Computational Intelligence in Biometrics and Identity Management,,CIBIM,
conf/cibse,CIbConferencia Iberoamericana de Software Engineering,,CIbSE,
conf/cic,Communications in Computing,,CIC,6.0
conf/cica,Computational Intelligence in Control and Automation,,CICA,
conf/cicac,Computational Intelligence for Creativity and Affective Computing,,CICAC,
conf/cicare,Computational Intelligence in Healthcare and e-health,,CICARE,
conf/cicc,Custom Integrated Circuits Conference,,CICC,23.0
conf/cicling,CICLingConference on Intelligent Text Processing and Computational Linguistics,,CICLing,
conf/cicomms,CICommsComputational Intelligence for Communication Systems and Networks,,CIComms,
conf/cics,Computational Intelligence in Cyber Security,,CICS,
conf/cicsyn,"CICSyComputational Intelligence, Communication Systems and Networks",,CICSyN,
conf/cide,Colloque International sur le Document Electronique,,CIDE,5.0
conf/cidm,Computational Intelligence and Data Mining,,CIDM,15.0
conf/cidr,Conference on Innovative Data Systems Research,,CIDR,28.0
conf/cidu,Conference on Intelligent Data Understanding,,CIDU,
conf/cidue,Computational Intelligence in Dynamic and Uncertain Environments,,CIDUE,
conf/cie,CiConference on Computability in Europe,,CiE,12.0
conf/ciel,Computational Intelligence and Ensemble Learning,,CIEL,1.0
conf/cies,Computational Intelligence for Engineering Solutions,,CIES,
conf/cifer,CIFErComputational Intelligence for Financial Engineering & Economics,,CIFEr,5.0
conf/cig,Computational Intelligence and Games,,CIG,25.0
conf/cihli,Computational Intelligence for Human-like Intelligence,,CIHLI,
conf/ciia,Conférence Internationale sur l'Informatique et ses Applications,,CIIA,
conf/ciic,Congreso Internacional de Inteligencia Computacional,,CIIC,
conf/ciip,Computational Intelligence for Image Processing,,CIIP,
conf/ciise,INCOSE Italia Conference on Systems Engineering,,CIISE,
conf/ciit,"Communications, Internet, and Information Technology",,CIIT,
conf/cikm,Social Web Search and Mining,,SWSM,
conf/cilc,Italian Conference on Computational Logic,,CILC,
conf/cim,Computer Integrated Manufacturing,,CIM,32.0
conf/cimaging,Computational Imaging,,,
conf/cimca,"Computational Intelligence for Modelling, Control and Automation",,CIMCA,
conf/cimcdm,Computational Intelligence in Multi-Criteria Decision-Making,,MCDM,
conf/cimi,Computational Intelligence in Medical Imaging,,CIMI,
conf/cimsivp,"Computational Intelligence for Multimedia, Signal and Vision Processing",,CIMSIVP,
conf/cinq,cInQ project,,cInQ,
conf/cip,CIP Project,,CIP,
conf/cipls,Computational Intelligence In Production And Logistics Systems,,CIPLS,
conf/cira,Computational Intelligence in Robotics and Automation,,CIRA,
conf/cirat,Computational Intelligence in Rehabilitation and Assistive Technologies,,CIRAT,
conf/cis,Computational Intelligence and Security,,CIS,12.0
conf/cisc,InscryptInformation Security and Cryptology,,Inscrypt,11.0
conf/cisched,CISchedComputational Intelligence in Scheduling,,CISched,
conf/cisda,Computational Intelligence for Security and Defense Applications,,CISDA,8.0
conf/cisim,Computer Information Systems and Industrial Management Applications,,CISIM,8.0
conf/cisis,"Complex, Intelligent and Software Intensive Systems",,CISIS,16.0
conf/cisis-spain,Computational Intelligence in Security for Information Systems,,CISIS,
conf/cism,CISM Workshops,,CISM,
conf/cismod,Conference on Information Systems and Management of Data,,CISMOD,
conf/ciss,Conference on Information Sciences and Systems,,CISS,26.0
conf/cisse,TeNeTelecommunications and Networking,,TeNe,
conf/cisst,"Conference on Imaging Science, Systems and Technology",,CISST,
conf/cist,Colloquium in Information Science and Technology,,CIST,
conf/cit,International Conference on Information Technology,,ICIT,20.0
conf/cita,Conference on Information Technology in Asia,,CITA,
conf/citisens,CitiSensCitizen in Sensor Networks,,CitiSens,
conf/cive,Computational Intelligence in Virtual Environments,,CIVE,
conf/civi,Computational Intelligence for Visual Intelligence,,CIVI,
conf/civr,Conference on Image and Video Retrieval,,CIVR,19.0
conf/civts,Computational Intelligence in Vehicles and Transportation Systems,,CIVTS,
conf/civvs,Computational Intelligence in Vehicles and Vehicular Systems,,CIVVS,
conf/cjcdgcgt,"China-Japan Conference on Discrete Geometry, Combinatorics and Graph Theory",,CJCDGCGT,
conf/ckec,Contemporary Knowledge Engineering and Cognition,,,
conf/cl,International Conference on Computational Logic,,CL,27.0
conf/cla,Concept Lattices and their Applications,,CLA,8.0
conf/clade,Challenges of Large Applications in Distributed Environments,,CLADE,
conf/clandc,CL&Classical Logic and Computation,,CL&C,27.0
conf/clawar,Climbing and Walking Robots,,CLAWAR,
conf/cleandb,CleanClean Database,,CleanDB,
conf/clear,"Classification of Events, Activities and Relationships",,CLEAR,
conf/clef,Cross-Language Evaluation Forum,,CLEF,24.0
conf/clei,Conferencia Latinoamericana En Informatica,,CLEI,3.0
conf/clihc,Latin American Conference on Human Computer Interaction,,CLIHC,
conf/clima,Computational Logic in Multi-Agent Systems,,CLIMA,
conf/clin,Computational Linguistics in the Netherlands,,CLIN,
conf/clor,Toward Category-Level Object Recognition,,,
conf/closer,ESaaEmerging Software as a Service and Analytics,,ESaaSA,
conf/cloud,SoSymposium on Cloud Computing,,SoCC,
conf/cloudcom,CloudComCloud Computing,,CloudCom,37.0
conf/cloudcomp,CloudCompCloud Computing,,CloudComp,
conf/cloudi,CloudCloud Intelligence,,Cloud-I,
conf/cloudnet,International Conference on Cloud Networking,,CLOUDNET,
conf/clsw,Chinese Lexical Semantics,,CLSW,2.0
conf/cluster,International Conference on Cluster Computing,,CLUSTER,25.0
conf/cmc,Cooperative Multimodal Communication,,CMC,
conf/cmcs,Coalgebraic Methods in Computer Science,,CMCS,
conf/cmg,Computer Measurement Group Conference,,CMG,
conf/cmmr,Computer Music Modeling and Retrieval,,CMMR,
conf/cmn,Computational Models of Narrative,,CMN,
conf/cms,Communications and Multimedia Security,,CMS,9.0
conf/cmsb,Computational Methods in Systems Biology,,CMSB,14.0
conf/cn,Computer Networks,,CN,49.0
conf/cncl,Chinese Computational Linguistics,,CCL,
conf/cnhpca,High Performance Computing and Applications,,HPCA,
conf/cnis,"Communication, Network, and Information Security",,CNIS,
conf/cnkbs,Compulog Net Meeting on Knowledge Bases,,CNKBS,
conf/cnl,Controlled Natural Language,,CNL,
conf/cns,Communications and Network Security,,CNS,45.0
conf/cnsa,Conference on Network Security & Applications,,CNSA,16.0
conf/cnsm,Conference on Network and Service Management,,CNSM,13.0
conf/cnsr,Conference on Communication Networks and Services Research,,CNSR,
conf/cobuild,CoBuildCooperative Buildings,,CoBuild,
conf/coco,Conference on Computational Complexity,,CCC,22.0
conf/cocoa,Conference on Combinatorial Optimization and Applications,,COCOA,12.0
conf/cococ,Combinatorics and Computer Science,,CCS,
conf/cocoon,Computing and Combinatorics Conference,,COCOON,
conf/cocos,Global Constraint Optimization and Constraint Satisfaction,,COCOS,
conf/cocv,Compiler Optimization Meets Compiler Verification,,COCV,
conf/codas,International Symposium on Cooperative Database Systems for Advanced Applications,,CODAS,2.0
conf/codaspy,Conference on Data and Application Security and Privacy,,CODASPY,16.0
conf/codata,International Council of Scientific Unions Committee on Data for Science and Technology,,CODATA,
conf/codcry,International Workshop on Coding and Cryptology,,IWCC,
conf/codes,Conference on Hardware Software Codesign,,CODES,21.0
conf/coding,Coding Theory and Applications,,,
conf/coea,Component-Oriented Enterprise Applications,,COEA,
conf/cogart,CogCognitive Radio and Advanced Spectrum Management,,CogART,
conf/cognitive,Formal Aspects of Cognitive Processes,,,
conf/cogsys,Cognitive Systems,,,21.0
conf/colcom,CollaborateComCollaborative Computing,,CollaborateCom,
conf/coling,International Conference on Computational Linguistics,,COLING,31.0
conf/colis,CoConceptions of Library and Information Sciences,,CoLIS,
conf/collaboration,Collaboration between Human and Artificial Societies,,,
conf/colog,Conference on Computer Logic,,,
conf/colognet,CoLogNet Publications,,CoLogNet,
conf/colognetwente,Twente Workshop on Graphs and Combinatorial Optimization,,TW,7.0
conf/colt,Computational Learning Theory,,COLT,27.0
conf/comad,Conference on Management of Data,,COMAD,
conf/comgeo,Com.GeoComputing for Geospatial Research & Application,,Com.Geo,
conf/comma,Computational Models of Argument,,COMMA,13.0
conf/compass,COMPASS Workshop,,COMPASS,28.0
conf/compcon,COMPCON,,,
conf/compeng,Complexity in Engineering,,COMPENG,
conf/compgeom,SoSymposium on Computational Geometry,,SoCG,
conf/compimage,CompComputational Modeling of Objects Represented in Images,,CompIMAGE,
conf/complenet,CompleNetWorkshop on Complex Networks,,CompleNet,
conf/complex,ComplexInternational Conference on Complex Sciences,,Complex,38.0
conf/complexsystems,Complex Adaptive Systems,,,
conf/complife,CompLifeComputational Life Sciences,,CompLife,
conf/compos,Compositionality: The Significant Difference,,COMPOS,
conf/compsac,Computer Software and Applications Conference,,COMPSAC,21.0
conf/compsens,CompSensMerging Fields Of Computational Intelligence And Sensor Technology,,CompSens,
conf/compsystech,CompSysTechComputer Systems and Technologies,,CompSysTech,
conf/compulog,Compulog Workshops,,Compulog,
conf/compute,ComputeBangalore Annual Compute Conference,,Compute,
conf/comsnets,Communication Systems and Networks,,COMSNETS,
conf/comsware,COMmunication System softWAre and MiddlewaRE,,COMSWARE,
conf/concur,International Conference on Concurrency Theory,,CONCUR,21.0
conf/conext,CoConference on Emerging Network Experiment and Technology,,CoNEXT,
conf/confws,Configuration Workshop,,,
conf/conielecomp,"International Conference on Electronics, Communications, and Computers",,CONIELECOMP,
conf/conll,CoComputational Natural Language Learning,,CoNLL,
conf/conpar,Conference on Algorithms and Hardware for Parallel Processing,,CONPAR,
conf/constructivity,Constructivity in Computer Science,,,
