	Name	Link	NPubs_list	NCits_list	ShortName
3870	International Conference on Future Networks	/Conference/3870/icfn-international-conference-on-future-networks	151	64	ICFN
5018	International Workshop on Soft Computing Applications	/Conference/5018/sofa-international-workshop-on-soft-computing-applications	131	64	SOFA
2647	Identity and Trust on the Internet	/Conference/2647/idtrust-identity-and-trust-on-the-internet	35	64	IDtrust
2589	E-Voting and Identity	/Conference/2589/vote-id-e-voting-and-identity	28	64	VOTE-ID
4480	International Conference on Multimedia Services Access Networks	/Conference/4480/msan-international-conference-on-multimedia-services-access-networks	23	64	MSAN
2272	Spatial Coherence for Visual Motion Analysis	/Conference/2272/scvma-spatial-coherence-for-visual-motion-analysis	12	64	SCVMA
2126	Information Systems and Databases	/Conference/2126/isdb-information-systems-and-databases	49	63	ISDB
2711	India Software Engineering Conference	/Conference/2711/isec-india-software-engineering-conference	46	63	ISEC
1882	International Conference on Computers for People with Special Needs	/Conference/1882/cpsn-international-conference-on-computers-for-people-with-special-needs	26	63	CPSN
1466	Performance of Distributed Systems and Integrated Communication Networks	/Conference/1466/performance-of-distributed-systems-and-integrated-communication-networks	24	63	
1654	Symposium on Computers and the Quality of Life	/Conference/1654/cql-symposium-on-computers-and-the-quality-of-life	17	63	CQL
2575	Asia Pacific Conference on Circuits and Systems	/Conference/2575/apccas-asia-pacific-conference-on-circuits-and-systems	6	63	APCCAS
2533	Mobility In The Evolving Internet Architecture	/Conference/2533/mobiarch-mobility-in-the-evolving-internet-architecture	4	63	MobiArch
4184	International Conference on Intelligent Networking and Collaborative Systems	/Conference/4184/incos-international-conference-on-intelligent-networking-and-collaborative-systems	314	62	INCOS
2766	Wireless Information Networks and Systems	/Conference/2766/winsys-wireless-information-networks-and-systems	146	62	WINSYS
2560	Artificial Intelligence and Pattern Recognition	/Conference/2560/artificial-intelligence-and-pattern-recognition	138	62	
3882	Conference in Games and Virtual Worlds for Serious Applications	/Conference/3882/vs-games-conference-in-games-and-virtual-worlds-for-serious-applications	102	62	VS-GAMES
3302	ICSC Congress on Computational Intelligence Methods and Applications	/Conference/3302/cima-icsc-congress-on-computational-intelligence-methods-and-applications	71	62	CIMA
513	Woman into Computing	/Conference/513/woman-into-computing	62	62	
2652	Artificial General Intelligence	/Conference/2652/agi-artificial-general-intelligence	36	62	AGI
1381	Mathematical Studies of Information Processing	/Conference/1381/mathematical-studies-of-information-processing	22	62	
2191	Metacognition in Computation	/Conference/2191/metacognition-metacognition-in-computation	20	62	METACOGNITION
1517	Regulated Agent-Based Social Systems	/Conference/1517/regulated-agent-based-social-systems	18	62	
2287	Signal Processing and Multimedia Applications	/Conference/2287/sigmap-signal-processing-and-multimedia-applications	18	62	SIGMAP
1048	Hellenic-European Conference on Computer Mathematics and its Applications	/Conference/1048/hellenic-european-conference-on-computer-mathematics-and-its-applications	69	61	
2105	Intelligent Media Technology for Communicative Intelligence	/Conference/2105/imtci-intelligent-media-technology-for-communicative-intelligence	25	61	IMTCI
1336	Mobile Computing in Medicine	/Conference/1336/mobile-computing-in-medicine	23	61	
1926	Deep Structure, Singularities, and Computer Vision	/Conference/1926/dsscv-deep-structure-singularities-and-computer-vision	23	61	DSSCV
1013	Conference on ALGOL	/Conference/1013/algol-conference-on-algol	20	61	Algol
816	Constructivity in Computer Science	/Conference/816/constructivity-in-computer-science	17	61	
4430	International Workshop on Model-Based Development of Computer-Based Systems and Model-Based Methodologies for Pervasive and Embedded Software	/Conference/4430/mbd-mompes-international-workshop-on-model-based-development-of-computer-based-systems-and	17	61	MBD/MOMPES
3595	International Conference on E-Business and Information System Security	/Conference/3595/ebiss-international-conference-on-e-business-and-information-system-security	457	60	EBISS
2004	GIL Jahrestagung	/Conference/2004/gil-gil-jahrestagung	399	60	GIL
