Key,NameAZList,ShortNameAZList
econpapers:article/eeereseng,Resources and Energy,RESENG
econpapers:article/eeerespol,Research Policy,RESPOL
econpapers:article/eeeretrec,Research in Transportation Economics,RETREC
econpapers:article/eeereveco,International Review of Economics & Finance,REVECO
econpapers:article/eeerevfin,Review of Financial Economics,REVFIN
econpapers:article/eeericeco,Ricerche Economiche,RICECO
econpapers:article/eeeriibaf,Research in International Business and Finance,RIIBAF
econpapers:article/eeescaman,Scandinavian Journal of Management,SCAMAN
econpapers:article/eeesoceco,Journal of Behavioral and Experimental Economics (formerly The Journal of Socio-Economics),SOCECO
econpapers:article/eeesoceps,Socio-Economic Planning Sciences,SOCEPS
