Name	Link	NCits_list	NPubs_list	ShortName
Journal of Analytical and Applied Pyrolysis	/Journal/5482/j-anal-appl-pyrol-journal-of-analytical-and-applied-pyrolysis	2674	33	J ANAL APPL PYROL
Ultrasonics Sonochemistry	/Journal/2379/ultrason-sonochemistry-ultrasonics-sonochemistry	1500	33	ULTRASON SONOCHEMISTRY
Biofactors	/Journal/1470/biofactors	1121	33	
Protist	/Journal/1793/protist	726	33	
Organometallics	/Journal/2256/organometallics	21505	32	
Journal of The Chemical Society-dalton Transactions	/Journal/2106/j-chem-soc-dalton-trans-journal-of-the-chemical-society-dalton-transactions	16744	32	J CHEM SOC DALTON TRANS
International Journal of Quantum Chemistry	/Journal/2073/int-j-quantum-chem-international-journal-of-quantum-chemistry	14416	32	INT J QUANTUM CHEM
Journal of Thermal Analysis and Calorimetry	/Journal/2195/j-therm-anal-calorim-journal-of-thermal-analysis-and-calorimetry	11822	32	J THERM ANAL CALORIM
Chromatographia	/Journal/1989/chromatographia	10307	32	
Tetrahedron-asymmetry	/Journal/2368/tetrahedron-asymmetry	9811	32	
International Journal of Biochemistry	/Journal/14093/int-j-biochem-international-journal-of-biochemistry	4336	32	INT J BIOCHEM
Smart Materials & Structures	/Journal/5821/smart-mater-struct-smart-materials-&-structures	4146	32	SMART MATER STRUCT
International Journal of Peptide and Protein Research	/Journal/17222/international-journal-of-peptide-and-protein-research	3109	32	
Journal of Biochemistry	/Journal/1642/j-biochem-journal-of-biochemistry	1663	32	J BIOCHEM
Progress in Growth Factor Research	/Journal/14434/progress-in-growth-factor-research	189	32	
