"CJourID","DomainID","SubDomainID"
"1443","4","10"
"1443","5","19"
"1444","4","3"
"1445","4","3"
"1445","5","19"
"1446","4","5"
"1447","4","5"
"1447","5","19"
"1448","5","19"
"1449","4","3"
"1449","4","10"
"1450","4","4"
"1451","5","19"
"1452","4","3"
"1452","5","19"
"1453","5","19"
"1454","5","19"
"1455","5","19"
"1456","5","19"
"1457","4","10"
"1457","5","19"
"1458","5","19"
"1459","5","19"
"1460","4","6"
"1460","5","19"
"1461","5","19"
"1462","5","19"
"1463","4","10"
"1463","5","19"
"1464","4","0"
"1465","9","4"
"1466","4","4"
"1466","5","19"
"1467","4","4"
"1468","19","0"
"1469","4","0"
"1470","5","19"
"1471","4","3"
"1472","4","0"
"1473","5","19"
"1473","6","12"
"1474","4","13"
"1474","5","19"
"1475","6","14"
"1476","4","10"
"1476","5","19"
"1477","2","21"
"1478","4","8"
"1479","4","0"
"1480","4","0"
"1480","6","0"
"1481","4","0"
"1482","4","0"
"1483","4","0"
"1484","4","0"
"1485","4","0"
"1485","4","9"
"1486","4","11"
"1487","4","0"
"1488","4","4"
"1489","4","4"
"1490","4","4"
"1491","4","4"
"1492","5","19"
"1493","4","3"
"1493","4","4"
"1494","4","3"
"1495","4","3"
"1496","4","0"
"1497","4","0"
"1498","8","2"
"1499","4","4"
"1500","5","19"
"1501","4","0"
"1502","4","3"
"1503","4","4"
"1503","5","19"
"1504","4","0"
"1505","8","2"
"1506","4","11"
"1507","4","4"
"1507","4","8"
"1508","4","4"
"1509","4","4"
"1509","5","19"
"1510","4","4"
"1511","4","4"
"1512","4","4"
"1513","4","4"
"1514","4","4"
"1515","4","4"
"1516","4","4"
"1517","4","4"
"1518","4","4"
"1519","4","4"
"1520","4","4"
"1521","5","19"
"1522","4","0"
"1523","4","4"
"1524","4","0"
"1525","4","0"
"1526","4","0"
"1527","4","0"
"1528","4","0"
"1529","4","8"
"1529","4","10"
"1530","4","0"
"1530","10","4"
"1530","10","12"
"1531","4","8"
"1531","4","10"
"1532","4","14"
"1532","6","20"
"1533","6","0"
"1534","4","5"
"1534","6","17"
"1535","6","17"
"1535","6","20"
"1536","4","5"
"1536","4","8"
"1537","4","3"
"1537","5","19"
"1538","4","4"
"1539","4","0"
"1540","4","0"
"1541","5","0"
"1542","5","0"
"1543","6","21"
"1544","6","3"
"1545","4","0"
"1546","4","0"
"1547","4","0"
"1548","5","19"
"1548","6","21"
"1549","4","10"
"1549","5","19"
"1550","4","13"
"1550","6","20"
"1551","4","8"
"1551","6","20"
"1552","4","10"
"1552","5","19"
"1553","4","4"
"1554","6","20"
"1555","5","0"
"1556","4","0"
"1557","4","4"
"1558","4","0"
"1559","4","0"
"1560","6","12"
"1561","4","0"
"1562","6","12"
"1562","6","20"
"1563","6","6"
"1563","6","9"
"1564","6","6"
"1564","6","16"
"1565","6","7"
"1566","4","3"
"1566","5","19"
"1567","6","20"
"1568","6","20"
"1569","4","0"
"1569","6","0"
"1570","4","0"
"1570","6","0"
"1571","4","4"
"1572","6","9"
"1573","6","9"
"1573","6","19"
"1574","6","9"
"1575","6","9"
"1576","6","9"
"1577","6","9"
"1578","6","9"
"1579","6","9"
"1580","4","5"
"1580","6","19"
"1581","4","4"
"1582","4","9"
"1583","5","19"
"1584","4","3"
"1585","5","19"
"1586","5","2"
"1586","5","8"
"1586","5","19"
"1587","6","9"
"1588","5","19"
"1588","6","16"
"1589","4","0"
"1590","4","9"
"1590","5","19"
"1591","4","7"
"1592","4","7"
"1593","4","7"
"1594","4","7"
"1595","6","9"
"1596","6","0"
"1597","4","11"
"1598","4","9"
"1598","4","10"
"1599","4","0"
"1600","6","22"
"1601","5","19"
"1602","4","13"
"1603","4","0"
"1604","4","11"
"1605","4","5"
"1605","6","19"
"1606","4","9"
"1606","4","12"
"1607","5","19"
"1607","6","19"
"1608","5","19"
"1609","6","9"
"1610","6","0"
"1611","6","9"
"1612","4","3"
"1612","6","21"
"1613","4","0"
"1614","4","4"
"1615","6","12"
"1615","6","14"
"1616","5","19"
"1616","6","0"
"1617","6","21"
"1618","6","9"
"1619","4","4"
