,0
963,Georgia Institute of Technology 
964,Indiana University 
965,University of California-Los Angeles 
966,University of Texas at Arlington 
967,Yale University 
968,University of California-Berkeley 
969,University of Southern California 
970,University of Texas at Arlington 
971,University of Sydney 
972,Concordia University 
973,University of Wisconsin-Madison 
974,EPFL 
975,Universidade Federal do Rio Grande do Sul 
976,Washington University In St. Louis 
977,University of Washington 
978,University of Southern California 
979,Rensselaer Polytechnic Institute 
980,Boston University 
981,University of California-Berkeley 
982,Imperial College London 
983,Universidade de São Paulo 
984,University College London 
985,Stanford University 
986,University of Waterloo 
987,Johns Hopkins University 
988,University of Michigan-Ann Arbor 
989,IISc Bangalore 
990,University of Virginia 
991,University of Toronto 
992,University of Kansas 
993,Australian National University 
994,New York University 
995,University of California-Berkeley 
996,University of California-Irvine 
997,University of Maryland Baltimore County 
998,North Carolina State University 
999,University of Illinois at Urbana-Champaign 
1000,National University of Singapore 
1001,Technion-Israel Institute of Technology 
1002,University of Illinois at Chicago 
1003,Arizona State University 
1004,University of Oxford 
1005,Arizona State University 
1006,University of North Texas 
1007,Tufts University 
1008,University of Cincinnati Main Campus 
1009,University of Oklahoma Norman Campus 
1010,University of Wisconsin-Madison 
1011,University of Wisconsin-Madison 
1012,Georgia Institute of Technology 
1013,State University of New York at Buffalo 
1014,University of Pennsylvania 
1015,University of Notre Dame 
1016,Michigan State University 
1017,Temple University 
1018,Imperial College London 
1019,University of Kentucky 
1020,Wayne State University 
1021,University of California-Riverside 
1022,University College London 
1023,Pontifícia Universidade Católica do Rio de Janeiro 
1024,Michigan State University 
1025,University of Notre Dame 
1026,University of Michigan 
1027,University of Washington 
1028,University of Virginia 
1029,University of California-Los Angeles 
1030,University of Massachusetts Amherst 
1031,State University of New York at Stony Brook 
1032,College of William and Mary 
1033,University of Texas at Austin 
1034,University of North Carolina at Charlotte 
1035,National University of Singapore 
1036,Technion-Israel Institute of Technology 
1037,University of Athens 
1038,University of Waterloo 
1039,University of Connecticut 
1040,TU Delft 
1041,Johns Hopkins University 
1042,University of Massachusetts Amherst 
1043,ETH Zurich 
1044,Carnegie Mellon University 
1045,University of Victoria 
1046,Politecnico di Milano 
1047,University of Washington 
1048,University of North Carolina at Charlotte 
1049,New York University 
1050,Indiana University at Bloomington 
1051,USP - São Carlos 
1052,University of California-Davis 
1053,University of California-Riverside 
1054,University of California-Santa Cruz 
1055,North Carolina State University 
1056,University at Buffalo 
1057,University of Pennsylvania 
1058,University of Oxford 
1059,North Carolina State University 
1060,Massachusetts Institute of Technology 
1061,University of Waterloo 
1062,University at Buffalo 
1063,Carnegie Mellon University 
1064,Tel Aviv University 
1065,Stanford University 
1066,University of Iowa 
1067,Worcester Polytechnic Institute 
1068,University of California-Riverside 
1069,Northeastern University 
1070,University of Alabama at Birmingham 
1071,University of Michigan 
1072,RWTH Aachen 
1073,Universidade Federal do Rio Grande do Sul 
1074,University of Maryland-College Park 
1075,Aarhus University 
1076,McGill University 
1077,University of Texas at Austin 
1078,University of Warsaw 
1079,University of Wisconsin-Madison 
1080,University of Warsaw 
1081,University of California-Santa Barbara 
1082,Max Planck Institute 
1083,University of Southern Mississippi 
1084,Yale University 
1085,University of Maryland-College Park 
1086,TU Delft 
1087,University of Maryland-College Park 
1088,University of Maryland College Park 
1089,University of Illinois at Urbana-Champaign 
1090,Stanford University 
1091,Florida International University 
1092,University of Central Florida 
1093,University of Rochester 
1094,Pennsylvania State University 
1095,University of Minnesota 
1096,University of Michigan 
1097,University of California-Santa Barbara 
1098,University of Oxford 
1099,University of Southern California 
1100,George Mason University 
1101,University of California-Santa Barbara 
1102,University of Texas at Dallas 
1103,TU Munich 
1104,Universidade Federal do Rio de Janeiro 
1105,University of North Carolina 
1106,Iowa State University 
1107,Boston University 
1108,University of Utah 
1109,University of Melbourne 
1110,University of Southern California 
1111,Yale University 
1112,Temple University 
1113,University of Illinois at Urbana-Champaign 
1114,Emory University 
1115,Bar-Ilan University 
1116,University of Maryland College Park 
1117,Indiana University 
1118,Indiana University 
1119,University of Michigan-Ann Arbor 
1120,Northeastern University 
1121,University of Massachusetts Amherst 
1122,University of California-Berkeley 
1123,Princeton University 
1124,Politecnico di Milano 
1125,EPFL 
1126,Athens University of Economics and Business 
1127,Rensselaer Polytechnic Institute 
1128,Duke University 
1129,Purdue University Main Campus 
1130,IIIT Hyderabad 
1131,Monash University 
1132,University of Southern California 
1133,Florida International University 
1134,Arizona State University 
1135,University of Minnesota 
