,0
645,Universidade Federal de Mato Grosso do Sul 
646,TU Munich 
647,University of South Carolina Columbia 
648,University of Sydney 
649,Virginia Polytechnic Institute and State University 
650,University of British Columbia 
651,Politecnico di Milano 
652,Massachusetts Institute of Technology 
653,Rutgers University 
654,University of Texas at Arlington 
655,University of Illinois at Urbana-Champaign 
656,Tufts University 
657,Universidade Estadual de Campinas 
658,Carnegie Mellon University 
659,University of Alabama 
660,University of Oxford 
661,University of California-Berkeley 
662,Queen’s University 
663,University of California-Riverside 
664,IIT Kanpur 
665,USP - São Carlos 
666,University of Southern California 
667,Case Western Reserve University 
668,George Washington University 
669,Massachusetts Institute of Technology 
670,University of Nebraska 
671,New York University 
672,University at Buffalo 
673,Politecnico di Milano 
674,Carleton University 
675,University of Southern California 
676,University of California-Irvine 
677,Iowa State University 
678,DIKU 
679,University of Colorado at Boulder 
680,University of Texas at Austin 
681,University of Sydney 
682,Western University 
683,University of Waterloo 
684,University of Illinois at Urbana-Champaign 
685,Lehigh University 
686,DIKU 
687,University of Massachusetts Amherst 
688,ETH Zurich 
689,Purdue University Main Campus 
690,University of Athens 
691,Ohio State University Main Campus 
692,Monash University 
693,Florida Institute of Technology 
694,State University of New York at Stony Brook 
695,University of Pittsburgh 
696,École Polytechnique ParisTech 
697,Max Planck Institute 
698,Athens University of Economics and Business 
699,Stony Brook University 
700,Universidade Federal Fluminense 
701,University of California-Riverside 
702,University of Colorado at Boulder 
703,University of Massachusetts Amherst 
704,Western University 
705,University of Tennessee 
706,University of Montreal 
707,Rice University 
708,ETH Zurich 
709,Australian National University 
710,University of California-San Diego 
711,Iowa State University 
712,Hebrew University of Jerusalem 
713,USP - São Carlos 
714,University of Memphis 
715,USP - São Carlos 
716,Massachusetts Institute of Technology 
717,Georgia Institute of Technology 
718,Cornell University 
719,University of North Carolina 
720,Florida International University 
721,Politecnico di Milano 
722,Pontifícia Universidade Católica do Rio de Janeiro 
723,University of California-Irvine 
724,University of Waterloo 
725,Pontifícia Universidade Católica do Rio de Janeiro 
726,Imperial College London 
727,University of Arkansas Main Campus 
728,University of Toronto 
729,Politecnico di Milano 
730,University of Waterloo 
731,Universidade de Brasília 
732,University of Otago 
733,IIT Bombay 
